Username,Nickname,Messages,Tokens
"kevalin#4394","kevalin",2865,82819.70034126776
"Aswanth#1733","Aswanth",648,18958.65644220105
"pawel#0756","pawel",543,15934.114444275021
"hawtlava#2461","Ryu",439,12938.377608234005
"AMICA#7675","AMICA",415,12247.053722993767
"mf777#2873","mf777",382,11296.483380788448
"BenJ#0551","BenJ",370,10950.821438168328
"mhrnik#3998","mhrnik",355,10518.744009893178
"Charles_#4357","Charles_",345,10230.692391043083
"JayIRL#8804","JayIRL",341,10115.471743503043
"boshd#8094","boshd",242,7263.7607168870745
"soitsu#3079","soitsu",239,7177.345231232045
"rx#5834","rx",233,7004.514259921986
"virtual#4304","virtual",206,6226.774889026721
"pricel3ss#4743","pricel3ss",194,5881.112946406604
"ClaireBookworm#5393","ClaireBookworm",192,5823.502622636584
"VirTius#4407","VirTius",188,5708.2819750965455
"Inklin#7437","Inklin",168,5132.178737396349
"LZRS#8262","LZRS",161,4930.5426042012805
"Eric Berry#2971","Eric Berry",154,4728.906471006212
"better.law#0001","better.law",149,4584.880661581163
"adelidusiam#5606","adelidusiam",141,4354.439366501085
"neelr#5007","neelr",138,4268.023880846055
"nonfungiblemoyo#6269","nonfungiblemoyo",132,4095.1929095359965
"longtran#8358","longtran",117,3663.1154812608497
"tomknig#3487","tom",115,3605.5051574908302
"sama99#9710","sama99",111,3490.284509950791
"financeAENDart#0964","financeAENDart",111,3490.284509950791
"Qworg#3284","Qworg",110,3461.4793480657813
"ja-cob.eth - Meritverse#4232","Jacob",105,3317.453538640732
"jkey#2329","jkey",100,3173.427729215684
"jennifer hinkel#5065","jennifer hinkel",95,3029.4019197906346
"nicklinck#6691","nicklinck",94,3000.596757905625
"hellyeah#3287","hellyeah",91,2914.181272250595
"sj#6242","sj",88,2827.7657865955657
"sendhey#2899","sendhey",87,2798.960624710556
"Seneca Manu#9320","Seneca Manu",74,2424.493520205429
"connorg#4386","connor",71,2338.078034550399
"evann#0296","evann",69,2280.4677107803795
"DCH88#5921","DCH88",61,2050.0264157003016
"enx#8760","enx",60,2021.221253815292
"Napolean_Solo#2907","Napolean_Solo",60,2021.221253815292
"Paul | KILT Protocol#6254","Paul | KILT Protocol",59,1992.416091930282
"fr3klz#9604","fr3klz",59,1992.416091930282
"Party Doodle#2753","Party Doodle",58,1963.6109300452722
"graham#2727","graham",56,1906.0006062752525
"Ubiubi2018#9073","Ubiubi2018",55,1877.1954443902428
"Brennen Hodge | Citizen DAO#5274","Brennen Hodge | Citizen DAO",55,1877.1954443902428
